國文,英文,法文,德文,日文,屬性一,屬性二
14,13,13,14,15,1,0
14,14,12,11,12,1,0
13,12,15,0,14,1,0
13,13,13,7,13,1,0
14,14,13,0,13,1,0
13,12,13,10,13,1,0
13,11,14,7,7,1,0
13,13,14,10,14,1,0
12,14,12,0,13,1,0
12,12,15,0,14,1,0
14,14,13,12,14,1,0
13,7,11,11,13,1,0
12,12,14,11,14,1,0
13,10,13,0,14,1,0
13,12,14,0,12,1,0
14,13,13,0,14,1,0
14,14,12,14,14,1,0
13,12,13,15,13,1,0
13,8,14,0,10,1,0
14,14,12,13,14,1,0
13,11,13,12,12,1,0
13,13,13,13,0,2,0
14,11,13,0,13,1,0
12,13,14,0,13,1,0
12,12,14,0,13,1,0
12,10,14,10,13,1,0
12,11,15,13,13,1,0
13,12,12,12,13,1,0
13,12,15,0,14,1,0
14,15,12,14,9,1,0
14,10,12,14,15,1,0
14,14,12,9,13,1,0
14,13,13,0,14,1,0
12,11,10,0,11,2,0
14,11,11,12,13,1,0
12,12,14,8,13,1,0
15,10,11,11,12,1,0
13,13,13,0,15,1,0
12,8,14,14,13,1,0
12,14,14,0,15,1,0
14,12,12,10,14,1,0
12,12,11,11,12,1,0
11,7,12,10,12,1,0
14,11,12,10,13,1,0
12,9,14,0,13,1,0
14,13,13,10,14,1,0
14,13,12,13,14,1,0
14,12,12,10,13,1,0
14,11,12,11,14,1,0
14,14,12,0,13,1,0
14,12,13,11,12,1,0
13,13,13,0,12,1,0
14,14,12,12,14,1,0
14,14,12,0,13,1,0
14,14,12,13,14,1,0
12,10,14,11,11,1,0
12,13,14,0,13,1,0
13,13,13,0,11,1,0
12,13,10,0,14,1,0
14,14,12,14,15,1,0
13,13,13,0,14,1,0
14,10,13,0,14,1,0
12,12,10,12,13,2,0
11,14,11,0,14,1,0
13,13,9,13,15,1,0
12,6,10,10,13,1,0
12,8,14,11,12,1,0
12,14,13,0,14,1,0
14,15,12,12,13,1,0
13,10,13,11,13,1,0
12,7,9,9,11,1,0
10,12,10,0,13,1,0
12,11,9,0,14,1,0
8,8,14,0,13,1,0
9,7,9,7,8,1,0
10,7,8,0,10,1,0
11,15,7,0,12,2,0
